language	term	usage	original	wordsense	raw_freq
STOPWORD	the	Vorzugsterm	the	-1	-1
RU-RU		Vorzugsterm	этот	0	2508
RU-RU	данэтотный	Negativterm	данный	0	497
RU-RU	настоящий	Negativterm	настоящий	0	13
RU-RU	сей	Negativterm	сей	0	1

STOPWORD	re	Vorzugsterm	re	-1	-1
RU-RU	вновь	Vorzugsterm	вновь	1	55
RU-RU	снова	Negativterm	снова	1	22
RU-RU	повторно	Negativterm	повторно	1	13
RU-RU	заново	Negativterm	заново	1	12

EN-US	leader	Vorzugsterm	leader	-1	-1
RU-RU	лидер	Vorzugsterm	лидер	1	3957
RU-RU	руководитель	Negativterm	руководитель	1	395
RU-RU	глава	Negativterm	глава	1	19

EN-US	need	Vorzugsterm	need	-1	-1
RU-RU	необходимый	Vorzugsterm	необходимый	0	1165
RU-RU	нужный	Negativterm	нужный	0	641

EN-US	consider	Vorzugsterm	consider	-1	-1
RU-RU	рассматривать	Vorzugsterm	рассматривать	1	394
RU-RU	считать	Negativterm	считать	1	256
RU-RU	полагать	Negativterm	полагать	1	9

STOPWORD	of	Vorzugsterm	of	-1	-1
RU-RU	часть	Vorzugsterm	часть	2	377
RU-RU	доля	Negativterm	доля	2	52
RU-RU	порция	Negativterm	порция	2	5

STOPWORD	only	Vorzugsterm	only	-1	-1
RU-RU	только	Vorzugsterm	только	0	5304
RU-RU	лишь	Negativterm	лишь	0	1177
RU-RU	всего	Negativterm	всего	0	155

EN-US	electoral	Vorzugsterm	electoral	-1	-1
RU-RU	избирательный	Vorzugsterm	избирательный	0	186
RU-RU	электоральный	Negativterm	электоральный	0	30

STOPWORD	this	Vorzugsterm	this	-1	-1
RU-RU	этот	Vorzugsterm	этот	0	14107
RU-RU	данный	Negativterm	данный	0	1162

EN-US	sense	Vorzugsterm	sense	-1	-1
RU-RU	чувство	Vorzugsterm	чувство	0	344
RU-RU	ощущение	Negativterm	ощущение	0	83

EN-US	state	Vorzugsterm	state	-1	-1
RU-RU	государство	Vorzugsterm	государство	0	3791
RU-RU	держава	Negativterm	держава	0	1

EN-US	organisation	Vorzugsterm	organisation	-1	-1
RU-RU	организация	Vorzugsterm	организация	1	38
RU-RU	структура	Negativterm	структура	1	2

STOPWORD	or	Vorzugsterm	or	-1	-1
RU-RU	или	Vorzugsterm	или	0	10546
RU-RU	либо	Negativterm	либо	0	153

EN-US	follow	Vorzugsterm	follow	-1	-1
RU-RU	после	Vorzugsterm	после	1	436
RU-RU	затем	Negativterm	затем	1	20
RU-RU	потом	Negativterm	потом	1	1

EN-US	result	Vorzugsterm	result	-1	-1
RU-RU	результат	Vorzugsterm	результат	0	2171
RU-RU	итог	Negativterm	итог	0	51
RU-RU	следствие	Negativterm	следствие	0	36
RU-RU	последствие	Negativterm	последствие	0	7
RU-RU	исход	Negativterm	исход	0	3

STOPWORD	a	Vorzugsterm	a	-1	-1
RU-RU	как	Vorzugsterm	как	1	10143
RU-RU	насколько	Negativterm	насколько	1	33
RU-RU	сколь	Negativterm	сколь	1	1

EN-US	photo	Vorzugsterm	photo	-1	-1
RU-RU	фотография	Vorzugsterm	фотография	2	49
RU-RU	фото	Negativterm	фото	2	7
RU-RU	снимок	Negativterm	снимок	2	4

EN-US	reduce	Vorzugsterm	reduce	-1	-1
RU-RU	сокращать	Vorzugsterm	сокращать	6	398
RU-RU	уменьшать	Negativterm	уменьшать	6	369
RU-RU	снижать	Negativterm	снижать	6	343

STOPWORD	to	Vorzugsterm	to	-1	-1
RU-RU	для	Vorzugsterm	для	0	6536
RU-RU	ради	Negativterm	ради	0	90

STOPWORD	be	Vorzugsterm	be	-1	-1
RU-RU	быть	Vorzugsterm	быть	0	22151
RU-RU	являться	Negativterm	являться	0	8779

EN-US	requirement	Vorzugsterm	requirement	-1	-1
RU-RU	требование	Vorzugsterm	требование	0	172
RU-RU	условие	Negativterm	условие	0	7

EN-US	quick	Vorzugsterm	quick	-1	-1
RU-RU	быстрый	Vorzugsterm	быстрый	0	105
RU-RU	скорый	Negativterm	скорый	0	2

STOPWORD	other	Vorzugsterm	other	-1	-1
RU-RU	другой	Vorzugsterm	другой	1	7550
RU-RU	остальной	Negativterm	остальной	1	301
RU-RU	прочий	Negativterm	прочий	1	115
RU-RU	иной	Negativterm	иной	1	87

EN-US	two	Vorzugsterm	two	-1	-1
RU-RU	два	Vorzugsterm	два	0	4350
RU-RU	пара	Negativterm	пара	0	3
RU-RU	двойка	Negativterm	двойка	0	2

EN-US	important	Vorzugsterm	important	-1	-1
RU-RU	важный	Vorzugsterm	важный	0	2085
RU-RU	значительный	Negativterm	значительный	0	20
RU-RU	существенный	Negativterm	существенный	0	18
RU-RU	значимый	Negativterm	значимый	0	15
RU-RU	немаловажный	Negativterm	немаловажный	0	2

EN-US	possess	Vorzugsterm	possess	-1	-1
RU-RU	обладать	Vorzugsterm	обладать	0	83
RU-RU	располагать	Negativterm	располагать	0	7

EN-US	often	Vorzugsterm	often	-1	-1
RU-RU	часто	Vorzugsterm	часто	0	1628
RU-RU	зачастую	Negativterm	зачастую	0	277
RU-RU	нередко	Negativterm	нередко	0	31

EN-US	old	Vorzugsterm	old	-1	-1
RU-RU	старый	Vorzugsterm	старый	0	1081
RU-RU	пожилой	Negativterm	пожилой	0	56

EN-US	allow	Vorzugsterm	allow	-1	-1
RU-RU	позволять	Vorzugsterm	позволять	0	1178
RU-RU	разрешать	Negativterm	разрешать	0	154
RU-RU	дозволять	Negativterm	дозволять	0	2

EN-US	use	Vorzugsterm	use	-1	-1
RU-RU	использовать	Vorzugsterm	использовать	0	1692
RU-RU	применять	Negativterm	применять	0	97
RU-RU	пользоваться	Negativterm	пользоваться	0	91
RU-RU	употреблять	Negativterm	употреблять	0	11
RU-RU	прибегать	Negativterm	прибегать	0	10

EN-US	measure	Vorzugsterm	measure	-1	-1
RU-RU	мера	Vorzugsterm	мера	4	754
RU-RU	мероприятие	Negativterm	мероприятие	4	6

EN-US	consequence	Vorzugsterm	consequence	-1	-1
RU-RU	последствие	Vorzugsterm	последствие	0	981
RU-RU	следствие	Negativterm	следствие	0	62
RU-RU	результат	Negativterm	результат	0	28
RU-RU	вывод	Negativterm	вывод	0	3

STOPWORD	for	Vorzugsterm	for	-1	-1
RU-RU	для	Vorzugsterm	для	0	10955
RU-RU	ради	Negativterm	ради	0	91

EN-US	around	Vorzugsterm	around	-1	-1
RU-RU	около	Vorzugsterm	около	1	248
RU-RU	примерно	Negativterm	примерно	1	167
RU-RU	приблизительно	Negativterm	приблизительно	1	39

EN-US	addition	Vorzugsterm	addition	-1	-1
RU-RU	помимо	Vorzugsterm	помимо	0	50
RU-RU	кроме	Negativterm	кроме	0	23

EN-US	aim	Vorzugsterm	aim	-1	-1
RU-RU	цель	Vorzugsterm	цель	0	274
RU-RU	задача	Negativterm	задача	0	5

EN-US	course	Vorzugsterm	course	-1	-1
RU-RU	конечно	Vorzugsterm	конечно	0	1260
RU-RU	разумеется	Negativterm	разумеется	0	170
RU-RU	естественно	Negativterm	естественно	0	48
RU-RU	правда	Negativterm	правда	0	5

EN-US	supporter	Vorzugsterm	supporter	-1	-1
RU-RU	сторонник	Vorzugsterm	сторswiонник	0	359
RU-RU	приверженец	Negativterm	приверженец	0	8
RU-RU	последователь	Negativterm	последователь	0	5

EN-US	controversial	Vorzugsterm	controversial	-1	-1
RU-RU	противоречивый	Vorzugsterm	противоречивый	0	21
RU-RU	неоднозначный	Negativterm	неоднозначный	0	4

EN-US	damage	Vorzugsterm	damage	-1	-1
RU-RU	ущерб	Vorzugsterm	ущерб	0	157
RU-RU	урон	Negativterm	урон	0	13

EN-US	difficult	Vorzugsterm	difficult	-1	-1
RU-RU	трудно	Vorzugsterm	трудно	0	491
RU-RU	тяжело	Negativterm	тяжело	0	23
RU-RU	нелегко	Negativterm	нелегко	0	5

EN-US	see	Vorzugsterm	see	-1	-1
RU-RU	видеть	Vorzugsterm	видеть	2	789
RU-RU	считать	Negativterm	считать	2	135
RU-RU	рассматривать	Negativterm	рассматривать	2	109
RU-RU	смотреть	Negativterm	смотреть	2	28
RU-RU	находить	Negativterm	находить	2	12
RU-RU	усматривать	Negativterm	усматривать	2	6

EN-US	report	Vorzugsterm	report	-1	-1
RU-RU	доклад	Vorzugsterm	доклад	0	282
RU-RU	публикация	Negativterm	публикация	0	4

EN-US	show	Vorzugsterm	show	-1	-1
RU-RU	показывать	Vorzugsterm	показывать	0	1204
RU-RU	демонстрировать	Negativterm	демонстрировать	0	74

EN-US	change	Vorzugsterm	change	-1	-1
RU-RU	изменение	Vorzugsterm	изменение	0	3053
RU-RU	перемена	Negativterm	перемена	0	537

EN-US	significant	Vorzugsterm	significant	-1	-1
RU-RU	значительный	Vorzugsterm	значительный	0	588
RU-RU	существенный	Negativterm	существенный	0	158
RU-RU	важный	Negativterm	важный	0	62
RU-RU	значимый	Negativterm	значимый	0	28

EN-US	impact	Vorzugsterm	impact	-1	-1
RU-RU	влияние	Vorzugsterm	влияние	1	273
RU-RU	воздействие	Negativterm	воздействие	1	235

EN-US	outcome	Vorzugsterm	outcome	-1	-1
RU-RU	результат	Vorzugsterm	результат	0	472
RU-RU	исход	Negativterm	исход	0	159
RU-RU	последствие	Negativterm	последствие	0	51
RU-RU	итог	Negativterm	итог	0	42
RU-RU	следствие	Negativterm	следствие	0	3

EN-US	study	Vorzugsterm	study	-1	-1
RU-RU	исследование	Vorzugsterm	исследование	1	419
RU-RU	анализ	Negativterm	анализ	1	3

EN-US	another	Vorzugsterm	another	-1	-1
RU-RU	другой	Vorzugsterm	другой	1	950
RU-RU	иной	Negativterm	иной	1	45

EN-US	patient	Vorzugsterm	patient	-1	-1
RU-RU	пациент	Vorzugsterm	пациент	0	277
RU-RU	больной	Negativterm	больной	0	23

EN-US	also	Vorzugsterm	also	-1	-1
RU-RU	также	Vorzugsterm	также	0	4922
RU-RU	тоже	Negativterm	тоже	0	221

EN-US	likely	Vorzugsterm	likely	-1	-1
RU-RU	вероятно	Vorzugsterm	вероятно	0	430
RU-RU	возможно	Negativterm	возможно	0	30

STOPWORD	if	Vorzugsterm	if	-1	-1
RU-RU	если	Vorzugsterm	если	0	7133
RU-RU	когда	Negativterm	когда	0	15

EN-US	necessarily	Vorzugsterm	necessarily	-1	-1
RU-RU	обязательно	Vorzugsterm	обязательно	0	130
RU-RU	непременно	Negativterm	непременно	0	4

EN-US	threaten	Vorzugsterm	threaten	-1	-1
RU-RU	угрожать	Vorzugsterm	угрожать	0	525
RU-RU	грозить	Negativterm	грозить	0	79

EN-US	active	Vorzugsterm	active	-1	-1
RU-RU	активный	Vorzugsterm	активный	0	291
RU-RU	энергичный	Negativterm	энергичный	0	1

EN-US	disease	Vorzugsterm	disease	-1	-1
RU-RU	болезнь	Vorzugsterm	болезнь	0	572
RU-RU	заболевание	Negativterm	заболевание	0	313
RU-RU	недуг	Negativterm	недуг	0	1

EN-US	take	Vorzugsterm	take	-1	-1
RU-RU	принимать	Vorzugsterm	принимать	0	611
RU-RU	брать	Negativterm	брать	0	48
RU-RU	получать	Negativterm	получать	0	26

EN-US	doctor	Vorzugsterm	doctor	-1	-1
RU-RU	врач	Vorzugsterm	врач	0	288
RU-RU	доктор	Negativterm	доктор	0	29
RU-RU	медик	Negativterm	медик	0	2

EN-US	possible	Vorzugsterm	possible	-1	-1
RU-RU	возможный	Vorzugsterm	возможный	0	656
RU-RU	вероятный	Negativterm	вероятный	0	17

EN-US	address	Vorzugsterm	address	-1	-1
RU-RU	решение	Vorzugsterm	решение	1	188
RU-RU	ответ	Negativterm	ответ	1	7

EN-US	eat	Vorzugsterm	eat	-1	-1
RU-RU	есть	Vorzugsterm	есть	0	36
RU-RU	питаться	Negativterm	питаться	0	12

EN-US	enough	Vorzugsterm	enough	-1	-1
RU-RU	достаточно	Vorzugsterm	достаточно	1	379
RU-RU	довольно	Negativterm	довольно	1	8

EN-US	decrease	Vorzugsterm	decrease	-1	-1
RU-RU	снижение	Vorzugsterm	снижение	3	39
RU-RU	уменьшение	Negativterm	уменьшение	3	10
RU-RU	сокращение	Negativterm	сокращение	3	6

EN-US	numb	Vorzugsterm	numb	-1	-1
RU-RU	количество	Vorzugsterm	количество	0	460
RU-RU	число	Negativterm	число	0	414

EN-US	increase	Vorzugsterm	increase	-1	-1
RU-RU	увеличение	Vorzugsterm	увеличение	2	821
RU-RU	рост	Negativterm	рост	2	376
RU-RU	возрастание	Negativterm	возрастание	2	4

EN-US	physical	Vorzugsterm	physical	-1	-1
RU-RU	физический	Vorzugsterm	физический	1	278
RU-RU	материальный	Negativterm	материальный	1	15

EN-US	activity	Vorzugsterm	activity	-1	-1
RU-RU	деятельность	Vorzugsterm	деятельность	1	407
RU-RU	активность	Negativterm	активность	1	151

EN-US	amount	Vorzugsterm	amount	-1	-1
RU-RU	количество	Vorzugsterm	количество	0	182
RU-RU	число	Negativterm	число	0	2

EN-US	product	Vorzugsterm	product	-1	-1
RU-RU	продукт	Vorzugsterm	продукт	0	374
RU-RU	изделие	Negativterm	изделие	0	14

EN-US	formation	Vorzugsterm	formation	-1	-1
RU-RU	формирование	Vorzugsterm	формирование	0	59
RU-RU	образование	Negativterm	образование	0	11

EN-US	recent	Vorzugsterm	recent	-1	-1
RU-RU	недавний	Vorzugsterm	недавний	0	1314
RU-RU	последний	Negativterm	последний	0	1183
RU-RU	новый	Negativterm	новый	0	45
RU-RU	свежий	Negativterm	свежий	0	18

EN-US	concern	Vorzugsterm	concern	-1	-1
RU-RU	касаться	Vorzugsterm	касаться	3	214
RU-RU	относиться	Negativterm	относиться	3	9

EN-US	family	Vorzugsterm	family	-1	-1
RU-RU	семья	Vorzugsterm	семья	0	842
RU-RU	семейство	Negativterm	семейство	0	13

EN-US	reveal	Vorzugsterm	reveal	-1	-1
RU-RU	показывать	Vorzugsterm	показывать	0	85
RU-RU	демонстрировать	Negativterm	демонстрировать	0	10

EN-US	probable	Vorzugsterm	probable	-1	-1
RU-RU	вероятный	Vorzugsterm	вероятный	0	17
RU-RU	возможный	Negativterm	возможный	0	3

EN-US	predict	Vorzugsterm	predict	-1	-1
RU-RU	предсказывать	Vorzugsterm	предсказывать	0	295
RU-RU	прогнозировать	Negativterm	прогнозировать	0	45
RU-RU	пророчить	Negativterm	пророчить	0	4
RU-RU	предрекать	Negativterm	предрекать	0	1

EN-US	nature	Vorzugsterm	nature	-1	-1
RU-RU	природа	Vorzugsterm	природа	1	339
RU-RU	натура	Negativterm	натура	1	12

EN-US	greatly	Vorzugsterm	greatly	-1	-1
RU-RU	значительно	Vorzugsterm	значительно	1	60
RU-RU	существенно	Negativterm	существенно	1	3

EN-US	resemble	Vorzugsterm	resemble	-1	-1
RU-RU	напоминать	Vorzugsterm	напоминать	0	69
RU-RU	походить	Negativterm	походить	0	2

EN-US	datum	Vorzugsterm	datum	-1	-1
RU-RU	данные	Vorzugsterm	данные	0	557
RU-RU	информация	Negativterm	информация	0	50
RU-RU	сведение	Negativterm	сведение	0	5

EN-US	seem	Vorzugsterm	seem	-1	-1
RU-RU	казаться	Vorzugsterm	казаться	1	639
RU-RU	выглядеть	Negativterm	выглядеть	1	129

EN-US	sure	Vorzugsterm	sure	-1	-1
RU-RU	конечно	Vorzugsterm	конечно	0	116
RU-RU	разумеется	Negativterm	разумеется	0	30
RU-RU	наверняка	Negativterm	наверняка	0	10
RU-RU	естественно	Negativterm	естественно	0	2
RU-RU	правда	Negativterm	правда	0	2

EN-US	slim	Vorzugsterm	slim	-1	-1
RU-RU	незначительный	Vorzugsterm	незначительный	1	10
RU-RU	маленький	Negativterm	маленький	1	4
RU-RU	небольшой	Negativterm	небольшой	1	3

EN-US	thing	Vorzugsterm	thing	-1	-1
RU-RU	вещь	Vorzugsterm	вещь	3	286
RU-RU	предмет	Negativterm	предмет	3	3
RU-RU	штука	Negativterm	штука	3	2

EN-US	place	Vorzugsterm	place	-1	-1
RU-RU	место	Vorzugsterm	место	0	647
RU-RU	положение	Negativterm	положение	0	16

